State,YEAR,smoking,AREA,AGE_ADJUSTED_RATE
Louisiana,2015,21.9,Louisiana,50.3
Maine,2015,19.5,Maine,50.4
Maryland,2015,15.1,Maryland,37.8
Massachusetts,2015,14.0,Massachusetts,39.0
Michigan,2015,20.7,Michigan,45.9
Minnesota,2015,16.2,Minnesota,37.1
Mississippi,2015,22.6,Mississippi,54.9
Missouri,2015,22.3,Missouri,51.1
Montana,2015,18.9,Montana,39.6
Nebraska,2015,17.1,Nebraska,41.5
Nevada,2015,17.6,Nevada,42.0
New Hampshire,2015,15.9,New Hampshire,43.4
New Jersey,2015,13.5,New Jersey,34.9
New Mexico,2015,17.5,New Mexico,29.6
New York,2015,15.2,New York,35.8
North Carolina,2015,19.0,North Carolina,45.7
North Dakota,2015,18.7,North Dakota,34.5
Ohio,2015,21.6,Ohio,49.0
Oklahoma,2015,22.2,Oklahoma,54.1
Oregon,2015,17.1,Oregon,39.0
Pennsylvania,2015,18.1,Pennsylvania,43.1
Rhode Island,2015,15.5,Rhode Island,47.0
South Carolina,2015,19.7,South Carolina,45.0
South Dakota,2015,20.1,South Dakota,40.9
Tennessee,2015,21.9,Tennessee,54.4
Texas,2015,15.2,Texas,35.3
Utah,2015,9.1,Utah,19.2
Vermont,2015,16.0,Vermont,41.8
Virginia,2015,16.5,Virginia,41.2
Washington,2015,15.0,Washington,38.8
West Virginia,2015,25.7,West Virginia,57.2
Wisconsin,2015,17.3,Wisconsin,40.2
Wyoming,2015,19.1,Wyoming,32.0
Alabama,2016,21.5,Alabama,49.1
Alaska,2016,19.0,Alaska,38.6
Arizona,2016,14.7,Arizona,30.7
Arkansas,2016,23.6,Arkansas,53.1
California,2016,11.0,California,28.0
Colorado,2016,15.6,Colorado,27.9
Connecticut,2016,13.4,Connecticut,33.7
Delaware,2016,17.7,Delaware,44.0
District of Columbia,2016,14.7,District of Columbia,27.6
Florida,2016,15.5,Florida,36.4
Georgia,2016,17.9,Georgia,40.7
Hawaii,2016,13.1,Hawaii,29.0
Idaho,2016,14.5,Idaho,30.9
Illinois,2016,15.8,Illinois,41.6
Indiana,2016,21.1,Indiana,49.2
Iowa,2016,16.7,Iowa,41.6
Kansas,2016,17.2,Kansas,39.2
Kentucky,2016,24.5,Kentucky,61.2
Louisiana,2016,22.8,Louisiana,46.3
Maine,2016,19.8,Maine,46.4
Maryland,2016,13.7,Maryland,37.7
Massachusetts,2016,13.6,Massachusetts,37.4
Michigan,2016,20.4,Michigan,43.5
Minnesota,2016,15.2,Minnesota,35.2
Mississippi,2016,22.7,Mississippi,53.8
Missouri,2016,22.1,Missouri,48.0
Montana,2016,18.5,Montana,34.4
Nebraska,2016,17.0,Nebraska,37.6
Nevada,2016,16.5,Nevada,38.5
New Hampshire,2016,18.0,New Hampshire,44.9
New Jersey,2016,14.0,New Jersey,33.8
New Mexico,2016,16.6,New Mexico,27.2
New York,2016,14.2,New York,33.5
North Carolina,2016,17.9,North Carolina,45.3
North Dakota,2016,19.8,North Dakota,34.6
Ohio,2016,22.5,Ohio,47.8
Oklahoma,2016,19.6,Oklahoma,49.7
Oregon,2016,16.2,Oregon,36.5
Pennsylvania,2016,18.0,Pennsylvania,41.0
Rhode Island,2016,14.4,Rhode Island,41.6
South Carolina,2016,20.0,South Carolina,42.5
South Dakota,2016,18.1,South Dakota,39.4
Tennessee,2016,22.1,Tennessee,53.3
Texas,2016,14.3,Texas,34.4
Utah,2016,8.8,Utah,18.4
Vermont,2016,17.0,Vermont,41.6
Virginia,2016,15.3,Virginia,38.6
Washington,2016,14.0,Washington,35.3
West Virginia,2016,24.8,West Virginia,53.0
Wisconsin,2016,17.1,Wisconsin,38.2
Wyoming,2016,19.0,Wyoming,30.3
Alabama,2017,20.9,Alabama,46.6
Alaska,2017,21.0,Alaska,31.2
Arizona,2017,15.6,Arizona,30.3
Arkansas,2017,22.3,Arkansas,50.9
California,2017,11.3,California,26.8
Colorado,2017,14.6,Colorado,24.8
Connecticut,2017,12.7,Connecticut,31.7
Delaware,2017,17.0,Delaware,41.2
District of Columbia,2017,14.4,District of Columbia,30.3
Florida,2017,16.1,Florida,35.9
Georgia,2017,17.5,Georgia,39.0
Hawaii,2017,12.8,Hawaii,28.3
Idaho,2017,14.4,Idaho,30.2
Illinois,2017,15.5,Illinois,39.1
Indiana,2017,21.8,Indiana,47.4
Iowa,2017,17.1,Iowa,39.5
Kansas,2017,17.4,Kansas,39.4
Kentucky,2017,24.6,Kentucky,56.7
Louisiana,2017,23.1,Louisiana,46.3
Maine,2017,17.3,Maine,44.7
Maryland,2017,13.9,Maryland,36.1
Massachusetts,2017,13.7,Massachusetts,35.4
Michigan,2017,19.3,Michigan,42.4
Minnesota,2017,14.5,Minnesota,34.2
Mississippi,2017,22.2,Mississippi,49.3
Missouri,2017,20.8,Missouri,46.7
Montana,2017,17.2,Montana,32.6
Nebraska,2017,15.4,Nebraska,35.9
Nevada,2017,17.6,Nevada,38.4
New Hampshire,2017,15.7,New Hampshire,38.7
New Jersey,2017,13.7,New Jersey,31.8
New Mexico,2017,17.5,New Mexico,25.7
New York,2017,14.1,New York,31.5
North Carolina,2017,17.2,North Carolina,41.9
North Dakota,2017,18.3,North Dakota,34.8
Ohio,2017,21.1,Ohio,44.7
Oklahoma,2017,20.2,Oklahoma,46.7
Oregon,2017,16.1,Oregon,35.1
Pennsylvania,2017,18.8,Pennsylvania,38.7
Rhode Island,2017,15.0,Rhode Island,39.6
South Carolina,2017,18.8,South Carolina,41.1
South Dakota,2017,19.3,South Dakota,38.7
Tennessee,2017,22.6,Tennessee,47.5
Texas,2017,15.7,Texas,33.0
Utah,2017,8.9,Utah,17.3
Vermont,2017,15.8,Vermont,39.7
Virginia,2017,16.4,Virginia,36.8
Washington,2017,13.5,Washington,34.0
West Virginia,2017,26.0,West Virginia,49.4
Wisconsin,2017,16.0,Wisconsin,37.6
Wyoming,2017,18.7,Wyoming,30.5
Alabama,2018,19.2,Alabama,45.6
Alaska,2018,19.1,Alaska,31.9
Arizona,2018,14.0,Arizona,27.9
Arkansas,2018,22.7,Arkansas,47.3
California,2018,11.2,California,25.1
Colorado,2018,14.5,Colorado,23.1
Connecticut,2018,12.2,Connecticut,29.9
Delaware,2018,16.5,Delaware,38.8
District of Columbia,2018,13.8,District of Columbia,24.6
Florida,2018,14.5,Florida,34.4
Georgia,2018,16.1,Georgia,37.7
Hawaii,2018,13.4,Hawaii,25.9
Idaho,2018,14.7,Idaho,30.6
Illinois,2018,15.5,Illinois,36.6
Indiana,2018,21.1,Indiana,44.0
Iowa,2018,16.6,Iowa,37.8
Kansas,2018,17.2,Kansas,38.3
Kentucky,2018,23.4,Kentucky,53.5
Louisiana,2018,20.5,Louisiana,43.1
Maine,2018,17.8,Maine,44.5
Maryland,2018,12.5,Maryland,33.4
Massachusetts,2018,13.4,Massachusetts,33.8
Michigan,2018,18.9,Michigan,41.0
Minnesota,2018,15.1,Minnesota,30.6
Mississippi,2018,20.5,Mississippi,49.7
Missouri,2018,19.4,Missouri,44.3
Montana,2018,18.0,Montana,31.6
Nebraska,2018,16.0,Nebraska,33.6
Nevada,2018,15.7,Nevada,32.9
New Hampshire,2018,15.6,New Hampshire,35.8
New Jersey,2018,13.1,New Jersey,30.6
New Mexico,2018,15.2,New Mexico,22.6
New York,2018,12.8,New York,30.6
North Carolina,2018,17.4,North Carolina,39.6
North Dakota,2018,19.1,North Dakota,32.8
Ohio,2018,20.5,Ohio,42.9
Oklahoma,2018,19.7,Oklahoma,46.8
Oregon,2018,15.6,Oregon,32.9
Pennsylvania,2018,17.0,Pennsylvania,37.4
Rhode Island,2018,14.6,Rhode Island,35.7
South Carolina,2018,18.0,South Carolina,38.8
South Dakota,2018,19.0,South Dakota,35.3
Tennessee,2018,20.7,Tennessee,45.4
Texas,2018,14.4,Texas,30.6
Utah,2018,9.0,Utah,16.5
Vermont,2018,13.7,Vermont,36.4
Virginia,2018,14.9,Virginia,35.4
Washington,2018,12.0,Washington,31.2
West Virginia,2018,25.2,West Virginia,50.5
Wisconsin,2018,16.4,Wisconsin,34.9
Wyoming,2018,18.8,Wyoming,29.5
Alabama,2019,20.2,Alabama,41.7
Alaska,2019,17.4,Alaska,30.5
Arizona,2019,14.9,Arizona,25.2
Arkansas,2019,20.2,Arkansas,45.5
California,2019,10.0,California,23.7
Colorado,2019,13.5,Colorado,23.2
Connecticut,2019,12.1,Connecticut,28.3
Delaware,2019,15.9,Delaware,35.5
District of Columbia,2019,12.7,District of Columbia,27.7
Florida,2019,14.8,Florida,32.2
Georgia,2019,16.3,Georgia,36.0
Hawaii,2019,12.3,Hawaii,26.8
Idaho,2019,15.3,Idaho,26.3
Illinois,2019,14.5,Illinois,35.8
Indiana,2019,19.2,Indiana,42.9
Iowa,2019,16.4,Iowa,35.9
Kansas,2019,16.2,Kansas,38.3
Kentucky,2019,23.6,Kentucky,52.7
Louisiana,2019,21.9,Louisiana,42.6
Maine,2019,17.6,Maine,42.1
Maryland,2019,12.7,Maryland,31.6
Massachusetts,2019,12.0,Massachusetts,32.4
Michigan,2019,18.7,Michigan,39.0
Minnesota,2019,14.6,Minnesota,30.3
Mississippi,2019,20.4,Mississippi,49.4
Missouri,2019,19.6,Missouri,42.1
Montana,2019,16.6,Montana,27.0
Nebraska,2019,14.7,Nebraska,32.7
Nevada,2019,15.7,Nevada,33.3
New Hampshire,2019,15.9,New Hampshire,34.3
New Mexico,2019,16.0,New Mexico,22.2
